Year,All natural disasters,Drought,Extreme temperature,Extreme weather,Flood,Landslide,Wildfire
1900,5.0,2.0,,1.0,1.0,,
1901,2.0,,,,,,
1902,9.0,,,1.0,,,
1903,8.0,1.0,,2.0,2.0,,
1904,2.0,,,1.0,,,
1905,4.0,,,1.0,,,
1906,17.0,1.0,,3.0,2.0,,
1907,5.0,,,,,,
1908,4.0,,,,,,
1909,11.0,,,5.0,1.0,1.0,
1910,15.0,9.0,,1.0,1.0,,
1911,5.0,,,2.0,1.0,,1.0
1912,7.0,,,5.0,,,
1913,5.0,,,1.0,,,
1914,6.0,,,1.0,,,
1915,7.0,,,2.0,1.0,,
1916,2.0,,,1.0,,,
1917,6.0,,,2.0,1.0,,
1918,7.0,,,1.0,,,1.0
1919,4.0,1.0,,2.0,,,
1920,7.0,2.0,,1.0,1.0,,
1921,2.0,1.0,,,,,
1922,6.0,,,2.0,,1.0,1.0
1923,12.0,,,6.0,,1.0,
1924,4.0,,,2.0,,,
1925,6.0,,,3.0,1.0,,
1926,15.0,,,7.0,4.0,2.0,
1927,12.0,,,4.0,2.0,,
1928,17.0,1.0,,7.0,2.0,,
1929,6.0,,,2.0,,,1.0
1930,14.0,,,4.0,1.0,1.0,
1931,12.0,1.0,,4.0,1.0,1.0,
1932,8.0,,,5.0,,1.0,
1933,10.0,1.0,,3.0,2.0,,
1934,9.0,,,4.0,,1.0,
1935,11.0,,,7.0,1.0,,
1936,11.0,,2.0,5.0,1.0,1.0,
1937,7.0,,,3.0,2.0,,
1938,7.0,,,2.0,2.0,1.0,
1939,11.0,,,2.0,2.0,,1.0
1940,17.0,9.0,,3.0,1.0,,
1941,5.0,,,2.0,,1.0,
1942,9.0,1.0,,3.0,,,
1943,12.0,1.0,,3.0,2.0,,
1944,12.0,,,5.0,,,2.0
1945,12.0,,,7.0,,,
1946,15.0,1.0,,5.0,,,
1947,12.0,1.0,,7.0,1.0,,1.0
1948,23.0,,,10.0,5.0,2.0,
1949,20.0,,,8.0,2.0,1.0,1.0
1950,23.0,,,7.0,10.0,1.0,
1951,27.0,,2.0,11.0,7.0,1.0,
1952,24.0,,,10.0,4.0,1.0,
1953,34.0,,3.0,11.0,12.0,,
1954,33.0,,,10.0,9.0,8.0,
1955,30.0,,1.0,19.0,3.0,2.0,
1956,36.0,,,14.0,9.0,5.0,1.0
1957,29.0,,,9.0,11.0,,
1958,23.0,,2.0,13.0,3.0,1.0,
1959,33.0,,,16.0,13.0,1.0,
1960,40.0,1.0,,20.0,7.0,2.0,
1961,28.0,1.0,1.0,14.0,8.0,2.0,
1962,28.0,,1.0,13.0,8.0,2.0,
1963,41.0,1.0,2.0,21.0,8.0,2.0,
1964,60.0,7.0,,22.0,22.0,1.0,
1965,61.0,7.0,1.0,19.0,19.0,5.0,1.0
1966,80.0,9.0,2.0,28.0,23.0,4.0,1.0
1967,70.0,5.0,,25.0,26.0,2.0,2.0
1968,77.0,7.0,2.0,25.0,20.0,4.0,3.0
1969,62.0,10.0,,25.0,14.0,1.0,2.0
1970,77.0,2.0,,24.0,31.0,5.0,3.0
1971,61.0,7.0,1.0,22.0,15.0,5.0,2.0
1972,63.0,7.0,2.0,26.0,15.0,5.0,3.0
1973,60.0,2.0,3.0,22.0,20.0,5.0,3.0
1974,68.0,4.0,,28.0,19.0,10.0,3.0
1975,63.0,1.0,3.0,28.0,17.0,5.0,2.0
1976,91.0,6.0,,36.0,17.0,6.0,1.0
1977,121.0,16.0,1.0,32.0,48.0,3.0,2.0
1978,115.0,9.0,1.0,42.0,47.0,2.0,3.0
1979,120.0,11.0,4.0,31.0,34.0,7.0,4.0
1980,133.0,14.0,3.0,42.0,39.0,4.0,4.0
1981,138.0,13.0,2.0,50.0,43.0,8.0,4.0
1982,153.0,13.0,3.0,52.0,48.0,11.0,3.0
1983,205.0,32.0,2.0,59.0,49.0,15.0,12.0
1984,146.0,8.0,1.0,57.0,47.0,6.0,7.0
1985,165.0,3.0,8.0,51.0,58.0,6.0,13.0
1986,150.0,4.0,2.0,56.0,50.0,9.0,6.0
1987,191.0,15.0,6.0,58.0,68.0,13.0,8.0
1988,200.0,17.0,6.0,60.0,76.0,15.0,
1989,172.0,7.0,5.0,73.0,46.0,15.0,3.0
1990,278.0,12.0,13.0,137.0,60.0,4.0,4.0
1991,228.0,18.0,8.0,66.0,77.0,9.0,8.0
1992,204.0,12.0,7.0,76.0,59.0,7.0,8.0
1993,260.0,9.0,4.0,108.0,84.0,22.0,2.0
1994,246.0,13.0,9.0,81.0,88.0,11.0,13.0
1995,248.0,6.0,13.0,81.0,94.0,16.0,7.0
1996,227.0,6.0,5.0,77.0,92.0,24.0,5.0
1997,261.0,18.0,13.0,79.0,95.0,13.0,16.0
1998,288.0,20.0,12.0,88.0,94.0,22.0,18.0
1999,337.0,23.0,8.0,106.0,122.0,18.0,22.0
2000,411.0,27.0,31.0,102.0,157.0,28.0,30.0
2001,376.0,22.0,23.0,105.0,157.0,24.0,14.0
2002,421.0,25.0,15.0,122.0,172.0,20.0,22.0
2003,360.0,14.0,25.0,86.0,158.0,21.0,14.0
2004,350.0,11.0,16.0,124.0,128.0,15.0,8.0
2005,432.0,20.0,30.0,130.0,193.0,13.0,13.0
2006,401.0,9.0,24.0,76.0,226.0,20.0,9.0
2007,414.0,11.0,25.0,105.0,218.0,10.0,18.0
2008,352.0,16.0,10.0,111.0,165.0,12.0,5.0
2009,344.0,18.0,25.0,87.0,151.0,29.0,9.0
2010,393.0,17.0,29.0,94.0,184.0,32.0,7.0
2011,334.0,17.0,16.0,84.0,156.0,17.0,8.0
2012,346.0,21.0,51.0,90.0,136.0,13.0,6.0
2013,332.0,9.0,14.0,105.0,149.0,11.0,10.0
2014,320.0,18.0,17.0,99.0,135.0,15.0,4.0
2015,380.0,28.0,12.0,118.0,160.0,20.0,12.0
2016,325.0,15.0,12.0,84.0,161.0,13.0,10.0
2017,276.0,7.0,11.0,85.0,114.0,25.0,13.0
2018,282.0,13.0,25.0,84.0,109.0,13.0,10.0
